"Source:","C:\Users\Charles\Documents\Projects\Lyra (ME102B Project)\Hardware\Electronics\Custom PCBs\Magnetic Angle Sensor Breakout v2\magn_angle_sensor_v2\magn_angle_sensor_v2.kicad_sch"
"Date:","3/7/2024 5:54:11 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","D:\CAD & Creative Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","57"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","LCSC"
"1","13","C1, C2, C3, C4, C5, C6, C7, C8, C9, C14, C17, C19, C22","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","C915972"
"2","1","C10","1u/100V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","",""
"3","6","C11, C12, C13, C15, C16, C18","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","",""
"4","2","C20, C21","22p","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","C2185179"
"5","2","C23, C24","47p","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","C881999"
"6","1","CR1","PESD1CAN_215","symbols:PESD1CAN_215","Package_TO_SOT_SMD:SOT-23","PESD1CAN_215","",""
"7","1","D1","LED","Device:LED","LED_SMD:LED_0402_1005Metric","~","","C401113"
"8","2","H1, H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","",""
"9","1","J1","120TR","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"10","1","J2","USB C Receptacle","Connector:USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","C2988369"
"11","1","J3","JST PH 01x04","Connector_Generic:Conn_01x04","Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal","~","",""
"12","1","R1","10K","Device:R","Resistor_SMD:R_0402_1005Metric","~","","C153109"
"13","1","R2","1K","Device:R","Resistor_SMD:R_0402_1005Metric","~","","C98841"
"14","2","R3, R6","10k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","C153109"
"15","2","R4, R5","27.4","Device:R","Resistor_SMD:R_0402_1005Metric","~","",""
"16","1","R7","1k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","C98841"
"17","1","R8","NC","Device:R","Resistor_SMD:R_0402_1005Metric","~","","C966873"
"18","1","R9","120","Device:R","Resistor_SMD:R_0402_1005Metric","~","","C966873"
"19","2","R10, R11","5.1k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","C2906948"
"20","1","SW1","BOOT","Switch:SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P","~","","C231329"
"21","1","SW2","RESET","Switch:SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P","~","","C231329"
"22","1","TP1","D0","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","",""
"23","1","TP2","D1","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","",""
"24","1","TP3","SCL","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","",""
"25","1","TP4","SDA","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","",""
"26","1","TP5","3.3V","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","",""
"27","1","TP6","GND","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","",""
"28","1","U1","SE8650X2-HF",":LF15_TO220_1","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/lcsc/2312041046_Seaward-Elec-SE8650X2-HF_C496615.pdf","",""
"29","1","U2","XC6206P332MR","Regulator_Linear:LF15_TO220","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/lcsc/2303151430_HXY-MOSFET-XC6206P332MR_C5148692.pdf","",""
"30","1","U3","W25Q128JVS","Memory_Flash:W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","","C97521"
"31","1","U4","MT6701-CT","symbols:MT6701-CT","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","","",""
"32","1","U5","RP2040","MCU_RaspberryPi:RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","",""
"33","1","U6","SN65HVD1050D","Interface_CAN_LIN:SN65HVD1050D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd1050.pdf","",""
"34","1","Y1","12MHz/12pF/50Ω/20ppm","Device:Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","","C2450215"
